CountryCode,Country,Year,Bacteria,Resistance_target,Resistance_pct,Community_J01_DDD_per_1000,Hospital_J01_DDD_per_1000,Total_J01_DDD_per_1000
AT,Austria,2019,Escherichia coli,Third-generation cephalosporins,9.31870291,9.758,1.8053,11.563299999999998
AT,Austria,2019,Klebsiella pneumoniae,Third-generation cephalosporins,10.33182503,9.758,1.8053,11.563299999999998
AT,Austria,2019,Staphylococcus aureus,Meticillin (MRSA),5.20613903,9.758,1.8053,11.563299999999998
AT,Austria,2020,Escherichia coli,Third-generation cephalosporins,9.46800595,7.1116,1.6601,8.7717
AT,Austria,2020,Klebsiella pneumoniae,Third-generation cephalosporins,7.82918149,7.1116,1.6601,8.7717
AT,Austria,2020,Staphylococcus aureus,Meticillin (MRSA),4.39676398,7.1116,1.6601,8.7717
AT,Austria,2021,Escherichia coli,Third-generation cephalosporins,8.28968755,7.1823,1.6193999999999997,8.8017
AT,Austria,2021,Klebsiella pneumoniae,Third-generation cephalosporins,9.80842911,7.1823,1.6193999999999997,8.8017
AT,Austria,2021,Staphylococcus aureus,Meticillin (MRSA),3.10224754,7.1823,1.6193999999999997,8.8017
AT,Austria,2022,Escherichia coli,Third-generation cephalosporins,8.32025117,8.792200000000001,1.6825999999999999,10.474800000000002
AT,Austria,2022,Klebsiella pneumoniae,Third-generation cephalosporins,9.57015409,8.792200000000001,1.6825999999999999,10.474800000000002
AT,Austria,2022,Staphylococcus aureus,Meticillin (MRSA),3.92535392,8.792200000000001,1.6825999999999999,10.474800000000002
BE,Belgium,2013,Escherichia coli,Third-generation cephalosporins,7.99802517,22.5193,1.6112,24.1305
BE,Belgium,2013,Klebsiella pneumoniae,Third-generation cephalosporins,15.31986531,22.5193,1.6112,24.1305
BE,Belgium,2013,Staphylococcus aureus,Meticillin (MRSA),16.87344913,22.5193,1.6112,24.1305
BE,Belgium,2014,Escherichia coli,Third-generation cephalosporins,9.74304068,22.3203,1.5909,23.9112
BE,Belgium,2014,Klebsiella pneumoniae,Third-generation cephalosporins,16.28865979,22.3203,1.5909,23.9112
BE,Belgium,2014,Staphylococcus aureus,Meticillin (MRSA),13.46153846,22.3203,1.5909,23.9112
BE,Belgium,2015,Escherichia coli,Third-generation cephalosporins,9.67990744,22.7114,1.6152,24.326600000000003
